City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint george,37.1041,-113.5841,2.46,43,100,4.47,US,1674443738
84,saint-georges,12.0564,-61.7485,25.82,78,20,10.29,GD,1674443903
85,meadow lake,34.8014,-106.5436,4.0,41,100,3.49,US,1674443903
86,lebu,-37.6167,-73.65,14.64,94,3,4.43,CL,1674443900
87,grindavik,63.8424,-22.4338,0.26,64,75,5.14,IS,1674443904
88,mataura,-46.1927,168.8643,17.88,36,11,3.54,NZ,1674443904
89,kaitangata,-46.2817,169.8464,17.46,44,13,5.73,NZ,1674443905
90,ko samui,9.5357,99.9357,29.95,70,20,2.06,TH,1674443905
91,padang,-0.9492,100.3543,27.03,88,100,1.34,ID,1674443906
92,hilo,19.7297,-155.09,25.85,84,20,3.09,US,1674443906
93,kapaa,22.0752,-159.319,26.18,75,21,3.09,US,1674443907
94,klyuchi,52.2667,79.1667,-9.88,86,100,6.6,RU,1674443908
95,lompoc,34.6391,-120.4579,12.08,62,0,12.52,US,1674443908
96,kamenka,51.3223,42.7678,-6.71,81,96,3.91,RU,1674443909
97,hami,42.8,93.45,-11.83,29,0,4.75,CN,1674443909
98,huescar,37.811,-2.5412,1.18,52,0,2.36,ES,1674443910
99,labuhan,-6.8844,112.2051,28.55,71,95,2.09,ID,1674443910
100,taoudenni,22.6783,-3.9836,15.03,21,0,4.28,ML,1674443911
101,port augusta,-32.5,137.7667,35.07,16,8,5.47,AU,1674443911
102,palmer,42.1584,-72.3287,1.85,87,100,2.57,US,1674443911
103,puerto ayora,-0.7393,-90.3518,23.64,97,44,1.86,EC,1674443723
104,qaanaaq,77.484,-69.3632,-34.25,57,16,3.73,GL,1674443912
105,vestmannaeyjar,63.4427,-20.2734,1.64,57,100,6.55,IS,1674443913
106,maceio,-9.6658,-35.7353,24.69,94,20,1.54,BR,1674443914
107,port-gentil,-0.7193,8.7815,27.21,77,70,4.2,GA,1674443713
108,punta arenas,-53.15,-70.9167,11.06,76,0,3.6,CL,1674443914
109,bilma,18.6853,12.9164,18.19,15,17,2.99,NE,1674443915
110,atuona,-9.8,-139.0333,26.13,79,100,8.52,PF,1674443915
111,ashland,40.8167,-82.2665,-0.47,98,100,2.86,US,1674443916
112,provideniya,64.3833,-173.3,-17.94,60,75,17.0,RU,1674443917
113,chuy,-33.6971,-53.4616,20.28,83,53,2.12,UY,1674443917
114,landerneau,48.4525,-4.2525,1.42,89,0,2.57,FR,1674443918
115,thinadhoo,0.5333,72.9333,26.77,76,27,2.65,MV,1674443918
116,halifax,44.6453,-63.5724,2.34,87,100,2.68,CA,1674443352
117,oleksandrivka,48.9634,32.2349,-1.85,87,7,3.71,UA,1674443919
118,hun,29.1268,15.9477,10.07,25,0,0.62,LY,1674443919
119,berlevag,70.8578,29.0864,2.0,64,89,20.06,NO,1674443920
120,kobryn,52.2138,24.3564,1.97,99,100,2.65,BY,1674443920
121,chokurdakh,70.6333,147.9167,-44.53,100,66,1.6,RU,1674443921
122,simpang,-1.2667,104.0833,24.73,93,100,1.74,ID,1674443921
123,rio gallegos,-51.6226,-69.2181,11.86,64,100,12.47,AR,1674443388
124,ullapool,57.8987,-5.1604,5.54,99,100,2.65,GB,1674443922
125,burley,42.5357,-113.7928,-4.28,93,100,1.54,US,1674443922
126,bengkulu,-3.8004,102.2655,23.05,96,100,2.12,ID,1674443923
127,pisco,-13.7,-76.2167,22.03,78,0,3.09,PE,1674443924
128,socorro,31.6546,-106.3033,10.76,25,0,2.57,US,1674443924
129,port keats,-14.25,129.55,31.95,55,100,2.2,AU,1674443925
130,dingle,10.9995,122.6711,26.52,81,100,6.68,PH,1674443926
131,acarau,-2.8856,-40.12,25.02,87,75,4.63,BR,1674443775
132,nanortalik,60.1432,-45.2371,-5.78,62,100,2.32,GL,1674443927
133,tuktoyaktuk,69.4541,-133.0374,-17.0,85,100,3.6,CA,1674443927
134,anzio,41.4853,12.6179,6.11,74,100,3.33,IT,1674443927
135,sur,22.5667,59.5289,18.81,44,0,5.11,OM,1674443874
136,tlapacoyan,19.9667,-97.2167,18.03,98,100,0.71,MX,1674443929
137,coquimbo,-29.9533,-71.3436,16.85,88,0,1.54,CL,1674443925
138,port lincoln,-34.7333,135.8667,20.82,66,100,4.6,AU,1674443737
139,vila praia de ancora,41.811,-8.8526,6.73,63,4,2.91,PT,1674443930
140,bara,10.3744,10.7288,20.01,21,38,2.87,NG,1674443802
141,ostrovnoy,68.0531,39.5131,-4.03,77,32,12.2,RU,1674443931
142,jalu,29.0331,21.5482,11.01,49,0,3.6,LY,1674443932
143,vostok,46.4856,135.8833,-22.61,80,33,1.78,RU,1674443933
144,srednekolymsk,67.45,153.6833,-36.35,96,100,2.22,RU,1674443933
145,taga,46.95,24.05,3.18,86,27,0.96,RO,1674443935
146,buchanan,5.8808,-10.0467,25.99,86,100,2.95,LR,1674443935
147,chicama,-7.8447,-79.1469,19.3,71,30,1.78,PE,1674443936
148,aktau,43.65,51.2,-7.68,78,2,5.91,KZ,1674443936
149,keuruu,62.2667,24.7,-7.9,89,100,3.95,FI,1674443937
150,yurty,56.0498,97.6348,-32.04,90,100,2.77,RU,1674443938
151,san pedro,14.35,121.0167,30.57,60,20,2.57,PH,1674443859
152,guerrero negro,27.9769,-114.0611,14.17,68,0,6.23,MX,1674443824
153,anori,-3.7728,-61.6442,23.14,98,79,0.94,BR,1674443939
154,faya,18.3851,42.4509,8.29,76,1,0.4,SA,1674443940
155,roma,43.2128,-75.4557,1.16,94,100,2.57,US,1674443941
156,airai,-8.9266,125.4092,21.09,65,100,0.64,TL,1674443941
157,mjolby,58.326,15.1237,-5.4,94,16,2.28,SE,1674443942
158,souillac,-20.5167,57.5167,24.21,100,75,1.54,MU,1674443943
159,dikson,73.5069,80.5464,-23.62,91,99,11.23,RU,1674443943
160,constitucion,-35.3333,-72.4167,15.05,84,0,5.89,CL,1674443944
161,mareeba,-17.0,145.4333,31.91,62,54,3.82,AU,1674443945
162,yellowknife,62.456,-114.3525,-29.05,97,58,2.32,CA,1674443945
163,teguise,29.0605,-13.564,16.12,63,0,6.69,ES,1674443946
164,norman wells,65.282,-126.8329,-24.98,77,75,1.03,CA,1674443946
165,mizan teferi,6.9833,35.5833,18.08,61,93,1.36,ET,1674443947
166,victoria,22.2855,114.1577,22.19,87,8,2.24,HK,1674443841
167,cockburn town,21.4612,-71.1419,25.36,78,32,9.56,TC,1674443948
168,hamilton,39.1834,-84.5333,1.29,93,100,2.57,US,1674443796
169,tuatapere,-46.1333,167.6833,15.19,53,9,4.09,NZ,1674443949
170,natyrbovo,44.73,40.6264,0.54,86,2,4.15,RU,1674443950
171,bethel,41.3712,-73.414,3.05,86,100,2.06,US,1674443950
172,iskateley,67.6803,53.1512,-3.76,95,100,6.68,RU,1674443951
173,arraial do cabo,-22.9661,-42.0278,23.38,90,86,4.58,BR,1674443817
174,batticaloa,7.7102,81.6924,25.91,82,99,3.83,LK,1674443952
175,hasaki,35.7333,140.8333,5.12,87,100,7.06,JP,1674443953
176,yumen,40.2833,97.2,-15.75,40,2,0.25,CN,1674443953
177,tibu,8.639,-72.7358,22.58,83,40,0.77,CO,1674443954
178,antalaha,-14.9003,50.2788,23.87,85,100,1.25,MG,1674443955
179,okha,53.5739,142.9478,-27.91,90,80,8.35,RU,1674443956
180,saskylakh,71.9167,114.0833,-32.29,87,100,1.19,RU,1674443956
181,sawakin,19.1059,37.3321,23.6,84,57,4.42,SD,1674443957
182,fortuna,40.5982,-124.1573,9.43,84,20,3.6,US,1674443957
183,sabla,12.7525,4.7077,21.84,20,47,3.9,NG,1674443958
184,guatire,10.4762,-66.5427,23.72,94,100,0.75,VE,1674443731
185,ishigaki,24.3448,124.1572,22.07,78,75,7.72,JP,1674443959
186,tashtyp,52.7939,89.8983,-16.55,86,100,0.25,RU,1674443959
187,tura,25.5198,90.2201,20.5,37,58,0.62,IN,1674443959
188,esperance,-33.8667,121.9,24.89,50,0,5.29,AU,1674443960
189,sao joao da barra,-21.6403,-41.0511,23.55,91,98,1.9,BR,1674443961
190,lagoa,39.05,-27.9833,15.49,80,0,10.18,PT,1674443962
191,inhambane,-23.865,35.3833,26.63,74,91,4.67,MZ,1674443962
192,pacific grove,36.6177,-121.9166,13.06,57,0,4.12,US,1674443946
193,fasa,28.9383,53.6482,4.58,87,75,0.0,IR,1674443964
194,petrovsk-zabaykalskiy,51.273,108.843,-32.92,88,33,2.24,RU,1674443965
195,cayenne,4.9333,-52.3333,26.02,83,75,4.12,GF,1674443966
196,mehamn,71.0357,27.8492,1.97,60,40,12.35,NO,1674443966
197,port elizabeth,-33.918,25.5701,21.84,92,100,1.03,ZA,1674443967
198,bougouni,11.417,-7.479,24.5,22,69,1.16,ML,1674443967
199,hualmay,-11.0964,-77.6139,21.72,79,98,3.53,PE,1674443968
200,kuldiga,56.974,21.9572,-4.17,91,14,0.51,LV,1674443968
201,haapiti,-17.5667,-149.8667,26.85,80,100,4.63,PF,1674443969
202,kalya,12.9793,77.1806,18.42,65,33,4.69,IN,1674443970
203,raudeberg,61.9875,5.1352,4.37,60,100,13.82,NO,1674443970
204,saint anthony,45.0205,-93.218,-7.03,93,100,2.57,US,1674443971
205,lamu,-2.2717,40.902,26.12,85,100,5.65,KE,1674443971
206,alofi,-19.0595,-169.9187,29.94,66,44,4.12,NU,1674443972
207,wuwei,37.9281,102.6414,-12.51,53,100,4.67,CN,1674443973
208,lugovoy,42.9472,72.7644,-13.56,87,40,2.62,KZ,1674443973
